Timestamp,What is your favorite animal?,How many years have you lived in London?,How do you commute to work?,How do you spend your time during your commute?
17/10/2024 10:41:08,Cat,4,Underground,Listening to music
17/10/2024 10:41:14,Dog,4,Underground,Reading a book
17/10/2024 10:41:16,Dog,2,Overground,Listening to music
17/10/2024 10:41:19,Leopard,5,Overground,Sleeping
17/10/2024 10:41:28,Cat,21,Overground,Listening to music
17/10/2024 10:41:29,Cat,2,Underground,Listening to music
17/10/2024 10:41:29,Dog,20,Underground,Playing Backgammon!
17/10/2024 10:41:31,Cat,8,Underground,Reading a book
17/10/2024 10:41:32,Dog,2,Underground,Reading a book
17/10/2024 10:41:35,Dog,4,Underground,Observing People
17/10/2024 10:41:38,manta ray,3,Bike,Listening to a podcast
17/10/2024 10:41:43,Bird,4,Overground,Listening to music
17/10/2024 10:41:47,Cat,7,Underground,audiobooks
17/10/2024 10:41:49,Dog,2,Underground,Watching videos
17/10/2024 10:41:52,Cat,6,Underground,Social Media
17/10/2024 10:42:06,Jaguar,21,Overground,Daydreaming
17/10/2024 10:42:07,fish?,13,Bike,Listening to music
17/10/2024 10:42:14,Dog,10,Bike,Focusing on the road because I'm biking!
